Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
com.aelitis.azureus.core.dht.control.impl,DHTControlImpl$controlActivity,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.components,Legend,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.core3.internat,LocaleUtilEncodingException,3,0.42857143,3,1.2857143,3,0,21,PureExtender,NoOvr
org.gudy.azureus2.core3.disk.impl,DiskManagerRecheckInstance,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.bouncycastle.asn1.x509,GeneralName,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.gudy.azureus2.platform.win32,PlatformManagerUpdateChecker,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.peermanager.messaging.azureus.session,AZSessionBitfield,1,1.0,11,11.0,11,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.peers,UpDownRatioItem,3,0.05263158,1,0.05263158,1,0,57,PureExtender,NoOvr
org.bouncycastle.asn1.x509,PolicyQualifierInfo,2,0.14285715,1,0.14285715,0,1,13,PureOverrider,PureSpecializer
com.aelitis.azureus.core.peermanager.utils,PeerClassifier,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.pluginsimpl.local.tracker,TrackerWebContextImpl,2,1.0,11,11.0,5,6,16,Overrider,PureSpecializer
org.gudy.azureus2.platform,PlatformManagerFactory,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.ui.swt.views,TorrentOptionsView$adhocParameterAdapter,2,0.33333334,3,1.0,0,3,15,PureOverrider,PureReplacer
org.gudy.azureus2.core3.predicate,TruePredicate,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.tracker.server.impl,TRTrackerServerProcessor$lightweightPeer,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.dht.transport.udp.impl,DHTUDPPacketRequestKeyBlock,4,0.8,7,5.6,5,2,33,Extender,PureSpecializer
org.gudy.azureus2.pluginsimpl.remote.rpexceptions,RPDeserialiseParseException,5,0.4,2,0.8,1,1,24,Overrider,PureReplacer
org.gudy.azureus2.ui.swt.views.configsections,ConfigSectionLogging,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.utils.resourcedownloader,ResourceDownloaderBaseImpl,1,2.6363637,29,76.45455,29,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.update,UpdateManagerImpl,1,0.90909094,10,9.090909,10,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.stats,CacheView,2,0.5833333,7,4.083333,1,6,18,Overrider,PureReplacer
org.gudy.azureus2.core3.util,UnresolvableHostManager,1,0.0,0,0.0,0,0,11,Other,NoOvr
com.aelitis.net.upnp.impl.services,UPnPActionImpl,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.util,ConcurrentHasher,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.utils.resourceuploader,ResourceUploaderURLImpl,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.gudy.azureus2.plugins.ipfilter,IPFilterException,3,0.0,0,0.0,0,0,21,Other,NoOvr
org.gudy.azureus2.plugins,PluginLauncher,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.asn1,DERT61String,2,0.61538464,4,2.4615386,2,2,11,Overrider,Equals
org.bouncycastle.crypto,AsymmetricCipherKeyPair,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.peermanager.piecepicker.impl,PiecePickerImpl,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr
org.bouncycastle.asn1.pkcs,SignedData,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.peer.impl,PEPeerStatsImpl,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.mainwindow,ClipboardCopy,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.bouncycastle.asn1.pkcs,PBKDF2Params,4,1.0,4,4.0,3,1,15,Extender,PureReplacer
org.gudy.azureus2.core3.ipfilter.impl,IpFilterManagerImpl,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
