Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Large Class,Budding Class,Blooming Class
CH.ifa.draw.util,StorableInput,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.util,Geom,1,0.0,0,0.0,0,0,11,Other,NoOvr,N,N,N
CH.ifa.draw.figures,PolyLineFigure,2,1.3181819,29,38.227276,18,11,33,Extender,Specializer,Y,Y,Y
CH.ifa.draw.standard,ConnectionHandle,3,0.95454544,7,6.681818,3,4,18,Overrider,PureReplacer,N,Y,N
CH.ifa.draw.util,StorableOutput,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,SendToBackCommand,2,0.2857143,2,0.5714286,0,2,12,PureOverrider,Equals,N,N,N
CH.ifa.draw.standard,FigureEnumerator,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,BorderTool,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.figures,ConnectedTextTool,4,0.2857143,2,0.5714286,0,2,26,PureOverrider,Equals,N,N,N
CH.ifa.draw.figures,AttributeFigure,2,0.4090909,9,3.6818182,5,4,40,Extender,Equals,N,N,N
CH.ifa.draw.standard,ToggleGridCommand,2,0.14285715,1,0.14285715,0,1,13,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,BufferedUpdateStrategy,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,TextFigure,3,1.8367347,30,55.10204,17,13,36,Extender,Specializer,Y,Y,Y
CH.ifa.draw.figures,RoundRectangleFigure,3,0.7346938,12,8.816326,2,10,39,Overrider,Specializer,N,N,N
CH.ifa.draw.figures,ElbowHandle,2,0.36363637,4,1.4545455,0,4,18,PureOverrider,Replacer,N,N,N
CH.ifa.draw.standard,AbstractConnector,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.contrib,MDI_DrawApplication,7,0.31210193,21,6.5541406,14,7,464,Extender,Replacer,Y,N,N
CH.ifa.draw.standard,LocatorHandle,2,0.09090909,1,0.09090909,0,1,21,PureOverrider,PureSpecializer,N,N,N
