Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
javax.management.modelmbean,ModelMBeanAttributeInfo,3,0.7058824,4,2.8235295,2,2,15,Overrider,PureReplacer
org.jboss.mx.notification,AsynchNotificationBroadcasterSupport,2,0.6666667,6,4.0,5,1,17,Extender,PureReplacer
javax.management.relation,Role,1,0.54545456,6,3.2727275,4,2,9,Extender,PureReplacer
org.jboss.dom4j.bean,BeanMetaData,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
javax.management.modelmbean,XMLParseException,3,0.0,0,0.0,0,0,21,Other,NoOvr
javax.management.loading,MLet,4,1.6,18,28.800001,14,4,41,Extender,Equals
org.jboss.system.server,ServerConfigImpl,1,2.4545455,27,66.27273,27,0,11,PureExtender,NoOvr
org.jboss.util.file,JarStreamBrowser,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.jboss.xb.binding.introspection,FieldInfo,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
org.apache.xerces.impl.xs,XMLSchemaValidator,1,4.909091,54,265.0909,54,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,OptionConverter,1,0.0,0,0.0,0,0,11,Other,NoOvr
javax.management,AttributeValueExp,1,0.45454547,5,2.2727273,4,1,10,Extender,PureReplacer
org.jboss.dom4j,DocumentHelper,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.commons.httpclient.cookie,CookiePolicy,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.commons.codec,DecoderException,3,0.0,0,0.0,0,0,21,Other,NoOvr
EDU.oswego.cs.dl.util.concurrent,FJTask$Seq2,2,0.11111111,1,0.11111111,1,0,18,PureExtender,NoOvr
org.apache.log4j.helpers,SyslogQuietWriter,4,0.48,3,1.4399999,2,1,24,Extender,PureSpecializer
org.jboss.util.propertyeditor,BlockingModeEditor,3,0.11538461,1,0.11538461,0,1,25,PureOverrider,PureReplacer
org.jboss.system.pm,AttributePersistenceService,3,1.0666667,16,17.066668,14,2,43,Extender,PureReplacer
org.jboss.mx.server.registry,BasicMBeanRegistry,1,2.090909,23,48.090908,23,0,11,PureExtender,NoOvr
org.jboss.dom4j.tree,ConcurrentReaderHashMap$ValueIterator,2,0.11764706,1,0.11764706,0,1,16,PureOverrider,PureReplacer
org.apache.commons.codec.binary,Hex,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.jboss.xb.binding.sunday.unmarshalling.impl.runtime,RtElementHandler,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
javax.management,AttributeChangeNotification,3,0.5714286,4,2.2857144,4,0,21,PureExtender,NoOvr
org.jboss.util,TimerQueue,2,0.6,6,3.6000001,2,4,16,Overrider,Replacer
org.jboss.net.sockets,DefaultClientSocketFactory,1,0.54545456,6,3.2727275,3,3,8,Overrider,Replacer
org.jboss.net.protocol,URLListerFactory,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.jboss.dom4j.tree,FlyweightCDATA,4,0.16666667,2,0.33333334,0,2,46,PureOverrider,PureReplacer
org.jboss.xb.binding.sunday.xop,XOPObject,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.jboss.xb.binding,UnmarshallerFactory,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.jboss.mx.loading,ClassLoaderUtils,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.util.collection,Iterators$SyncIterator,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.jboss.mx.util,DynamicMBeanSupport,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
org.jboss.util.collection,ListQueue,3,0.8,8,6.4,3,5,25,Overrider,Specializer
EDU.oswego.cs.dl.util.concurrent,ThreadedExecutor,2,0.15384616,1,0.15384616,1,0,13,PureExtender,NoOvr
org.apache.commons.codec.net,URLCodec,1,0.90909094,10,9.090909,10,0,11,PureExtender,NoOvr
javax.management,NotCompliantMBeanException,5,0.0,0,0.0,0,0,21,Other,NoOvr
org.jboss.system,ServiceMBeanSupport,2,3.0,27,81.0,27,0,18,PureExtender,NoOvr
