Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.argouml.uml.ui.foundation.core,PropPanelFlow,9,0.0,0,0.0,0,0,504,Other,NoOvr
org.argouml.uml.generator,ParserDisplay$ModelElementInfoList,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.argouml.model.uml,NSUMLModelEventListener,2,0.09090909,1,0.09090909,0,1,21,PureOverrider,PureSpecializer
org.argouml.uml.diagram.sequence.ui,ModeChangeHeight,3,0.39473683,5,1.9736841,0,5,33,PureOverrider,PureReplacer
org.argouml.uml.ui.behavior.state_machines,UMLStateVertexContainerListModel,4,0.121212125,2,0.24242425,0,2,64,PureOverrider,PureSpecializer
org.argouml.uml.ui.behavior.state_machines,UMLSignalEventSignalList,8,0.014814815,1,0.014814815,0,1,539,PureOverrider,PureReplacer
org.argouml.uml.ui.behavior.use_cases,PropPanelInclude,8,0.0952381,6,0.5714286,6,0,504,PureExtender,NoOvr
org.argouml.uml.cognitive.critics,CrTooManyTransitions,4,0.048780486,1,0.048780486,0,1,81,PureOverrider,PureReplacer
org.argouml.model,UndoCommonBehaviorHelperDecorator,2,0.0,0,0.0,0,0,42,Other,NoOvr
org.argouml.uml.diagram.ui,ActionSaveDiagramToClipboard,2,0.3,3,0.90000004,2,1,19,Extender,PureSpecializer
org.argouml.ui.targetmanager,TargetManager,1,1.9090909,21,40.090908,21,0,11,PureExtender,NoOvr
org.argouml.uml,ProjectMemberModel,2,0.47058824,4,1.882353,2,2,15,Overrider,Equals
org.argouml.uml.ui.foundation.core,UMLModelElementElementResidenceListModel,4,0.121212125,2,0.24242425,0,2,64,PureOverrider,PureSpecializer
org.argouml.uml.cognitive.critics,UMLWizard,2,0.3125,5,1.5625,4,1,31,Extender,PureSpecializer
org.argouml.uml.ui.behavior.common_behavior,ActionNewReception,5,0.18518518,1,0.18518518,0,1,26,PureOverrider,PureSpecializer
