Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
org.argouml.uml.reveng.idl,IDLParser,3,8.210526,156,1280.8422,156,0,57,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,UseCasesFactoryMDRImpl,2,2.8333333,17,48.166664,17,0,12,PureExtender,NoOvr,Budding Class
org.argouml.language.cpp.generator,GeneratorCpp,2,2.0930233,45,94.18605,26,19,24,Extender,PureSpecializer,Budding Class
org.argouml.application.configuration,ConfigurationHandler,1,3.0,33,99.0,33,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,ActivityGraphsFactoryImpl,2,2.6153846,17,44.461536,17,0,13,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,UseCasesHelperMDRImpl,1,2.090909,23,48.090908,23,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,CommonBehaviorHelperImpl,1,2.7272727,30,81.818184,30,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,2,8.5,51,433.5,51,0,12,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,ExtensionMechanismsFactoryMDRImpl,2,2.3333333,14,32.666664,14,0,12,PureExtender,NoOvr,Budding Class
org.argouml.cognitive,Designer,1,4.2727275,47,200.81819,46,1,10,Extender,PureReplacer,Budding Class
org.argouml.language.cpp.reveng,CPPParser,3,6.263158,119,745.3158,119,0,57,PureExtender,NoOvr,Budding Class
org.argouml.kernel,Project,1,6.3636365,70,445.45456,70,0,11,PureExtender,NoOvr,Budding Class
org.argouml.uml.reveng.java,JavaLexer,2,2.262295,69,156.09836,68,1,60,Extender,PureSpecializer,Budding Class
org.argouml.model.uml,StateMachinesHelperImpl,1,3.4545455,38,131.27274,38,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,CoreFactoryMDRImpl,2,16.833334,101,1700.1667,101,0,12,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,UmlModelEventPump,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model,AbstractCollaborationsHelperDecorator,1,3.090909,34,105.090904,34,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,CoreFactoryImpl,2,14.923077,97,1447.5385,97,0,13,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,MDRModelImplementation,1,3.909091,43,168.09091,43,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,CollaborationsFactoryMDRImpl,2,3.6666667,22,80.66667,22,0,12,PureExtender,NoOvr,Budding Class
org.argouml.uml.diagram.static_structure.layout,ClassdiagramNode,1,2.4545455,27,66.27273,27,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,CommonBehaviorHelperMDRImpl,1,2.7272727,30,81.818184,30,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,CoreHelperMDRImpl,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,CollaborationsHelperImpl,1,3.0,33,99.0,33,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,ActivityGraphsFactoryMDRImpl,2,2.8333333,17,48.166664,17,0,12,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,MetaTypesMDRImpl,1,7.2727275,80,581.8182,80,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,KindsImpl,1,2.909091,32,93.09091,32,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,FacadeMDRImpl,1,28.727272,316,9077.818,316,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,UseCasesHelperImpl,1,2.090909,23,48.090908,23,0,11,PureExtender,NoOvr,Budding Class
org.argouml.cognitive,ListSet,1,4.181818,46,192.36363,43,3,8,Extender,PureReplacer,Budding Class
org.argouml.language.cpp.reveng,CPPLexer,2,2.1639345,66,142.81967,66,0,61,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,KindsMDRImpl,1,2.5454545,28,71.27273,28,0,11,PureExtender,NoOvr,Budding Class
org.argouml.uml.reveng.classfile,ClassfileParser,3,2.2631578,43,97.31579,43,0,57,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,StateMachinesFactoryImpl,2,8.0,52,416.0,52,0,13,PureExtender,NoOvr,Budding Class
org.argouml.uml.generator,Generator2,1,2.909091,32,93.09091,32,0,11,PureExtender,NoOvr,Budding Class
org.argouml.language.java.generator,JavaRecognizer,3,3.4736843,66,229.26317,66,0,57,PureExtender,NoOvr,Budding Class
org.argouml.cognitive.critics,Critic,1,6.090909,67,408.0909,66,1,10,Extender,PureReplacer,Budding Class
org.argouml.model.uml,NSUMLModelImplementation,1,3.4545455,38,131.27274,38,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,MetaTypesImpl,1,7.2727275,80,581.8182,80,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model,AbstractStateMachinesHelperDecorator,1,3.5454545,39,138.27272,39,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,DataTypesFactoryMDRImpl,2,2.5,15,37.5,15,0,12,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,CollaborationsHelperMDRImpl,1,3.0,33,99.0,33,0,11,PureExtender,NoOvr,Budding Class
