Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
org.gudy.azureus2.core3.tracker.client.impl.bt,TrackerStatus,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.local.ui.config,ParameterImpl,1,2.0,22,44.0,22,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.tracker.host.impl,TRHostTorrentPublishImpl,1,3.6363637,40,145.45454,40,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.platform.dummy,PlatformManagerImpl,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.remote,RPPluginConfig,2,2.9166667,35,102.083336,31,4,20,Extender,Replacer,Large Class
org.gudy.azureus2.pluginsimpl.local,PluginConfigImpl,1,2.909091,32,93.09091,32,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.peer.impl,PEPeerManagerStatsImpl,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.local.ui,UIManagerImpl,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.torrent.impl,TOTorrentImpl,2,7.75,62,480.5,60,2,14,Extender,PureReplacer,Large Class
org.gudy.azureus2.core3.disk.impl,DiskManagerFileInfoImpl,1,2.909091,32,93.09091,32,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.local.sharing,ShareManagerImpl,1,3.2727273,36,117.818184,36,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.local.ui.tables,TableManagerImpl$TableColumnDelegate,1,2.7272727,30,81.818184,30,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.tracker.client.impl,TRTrackerAnnouncerImpl,1,2.909091,32,93.09091,32,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.dht.transport.util,DHTTransportStatsImpl,1,4.5454545,50,227.27272,50,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.platform.win32.access.impl,AEWin32AccessImpl,1,1.5454545,17,26.272726,17,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.dht.db.impl,DHTDBMapping,1,2.1818182,24,52.36364,24,0,11,PureExtender,NoOvr,Large Class
org.bouncycastle.jce.provider,X509CRLObject,3,2.1724138,21,45.62069,4,17,12,Overrider,Specializer,Large Class
org.gudy.azureus2.core3.peer.impl.control,PEPeerControlImpl,2,10.75,86,924.5,84,2,14,Extender,PureReplacer,Large Class
org.gudy.azureus2.core3.tracker.host.impl,TRHostTorrentHostImpl,1,4.181818,46,192.36363,46,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.dht.control.impl,DHTControlStatsImpl,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.remote.torrent,RPTorrent,2,3.0,36,108.0,33,3,21,Extender,PureReplacer,Large Class
org.gudy.azureus2.pluginsimpl.remote.download,RPDownloadStats,2,2.1666667,26,56.333336,23,3,21,Extender,PureReplacer,Large Class
org.gudy.azureus2.core3.disk.impl.access.impl,Test$DownloadManagerDummy,1,9.818182,108,1060.3636,108,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.networkmanager,NetworkManager,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.download.impl,DownloadManagerController$fileInfoFacade,1,1.9090909,21,40.090908,21,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.peermanager.piecepicker.priority.impl,PiecePriorityShaperImpl,1,3.7272727,41,152.81818,41,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.ui.swt.views,MyTorrentsView,3,1.1481482,31,35.592594,16,15,66,Extender,Specializer,Large Class
org.gudy.azureus2.core3.config.impl,ConfigurationManager,1,3.1818182,35,111.36364,35,0,11,PureExtender,NoOvr,Large Class
