#statement;statement;PageRank value;Rank;All Edges;Incoming Edges;Outgoing Edges
279;FUNCTION_CALL;0.00159744;271;2;1;1
280;END_THEN;0.00290444;68;2;1;1
281;DUMMY;0.00421144;4;3;2;1
282;FUNCTION_CALL;0.00290444;68;2;1;1
283;IF;0.00290444;68;3;1;2
284;FUNCTION_CALL;0.00159744;271;2;1;1
285;FUNCTION_CALL;0.00290444;68;2;1;1
286;IF;0.00290444;68;3;1;2
287;FUNCTION_CALL;0.00159744;271;2;1;1
288;END_THEN;0.00290444;68;2;1;1
289;FUNCTION_CALL;0.00159744;271;2;1;1
290;FUNCTION_CALL;0.00290444;68;2;1;1
291;FUNCTION_CALL;0.00290444;68;2;1;1
292;IF;0.00290444;68;3;1;2
293;FUNCTION_CALL;0.00159744;271;2;1;1
294;END_THEN;0.00290444;68;2;1;1
295;DUMMY;0.00421144;4;3;2;1
296;END_ELSE;0.00290444;68;2;1;1
297;DUMMY;0.00551844;0;3;2;1
298;END_THEN;0.00290444;68;2;1;1
299;DUMMY;0.00421144;4;3;2;1
300;IF;0.00290444;68;3;1;2
301;FUNCTION_CALL;0.00159744;271;2;1;1
302;FUNCTION_CALL;0.00290444;68;2;1;1
303;FUNCTION_CALL;0.00290444;68;2;1;1
304;FUNCTION_CALL;0.00290444;68;2;1;1
305;FUNCTION_CALL;0.00290444;68;2;1;1
306;FUNCTION_CALL;0.00290444;68;2;1;1
307;FUNCTION_CALL;0.00290444;68;2;1;1
308;FUNCTION_CALL;0.00290444;68;2;1;1
309;FUNCTION_CALL;0.00290444;68;2;1;1
310;IF;0.00290444;68;3;1;2
311;FUNCTION_CALL;0.00159744;271;2;1;1
312;END_THEN;0.00290444;68;2;1;1
313;DUMMY;0.00421144;4;3;2;1
314;IF;0.00290444;68;3;1;2
315;FUNCTION_CALL;0.00159744;271;2;1;1
316;END_THEN;0.00290444;68;2;1;1
317;DUMMY;0.00421144;4;3;2;1
318;END_THEN;0.00290444;68;2;1;1
