Family, DERIA5String, PureOverrider, 1.0, 2, 0
2, engineGenerateParameters() java.security.AlgorithmParameters, engineInit(java.security.spec.AlgorithmParameterSpec java.security.SecureRandom ) void, 
Family, ResourceDownloaderBaseImpl, Extender, 0.7777778, 9, 27
10, download() java.io.InputStream, setProperty(java.lang.String java.lang.Object ) void, getSize() long, cancel() void, failed(org.gudy.azureus2.plugins.utils.resourcedownloader.ResourceDownloader org.gudy.azureus2.plugins.utils.resourcedownloader.ResourceDownloaderException ) void, getClone(org.gudy.azureus2.pluginsimpl.local.utils.resourcedownloader.ResourceDownloaderBaseImpl ) org.gudy.azureus2.pluginsimpl.local.utils.resourcedownloader.ResourceDownloaderBaseImpl, getName() java.lang.String, setSize(long ) void, asyncDownload() void, completed(org.gudy.azureus2.plugins.utils.resourcedownloader.ResourceDownloader java.io.InputStream ) boolean, 
Family, AlgorithmIdentifier, Overrider, 0.6666667, 3, 7
1, getDERObject() org.bouncycastle.asn1.DERObject, 
Family, JDKDigestSignature, Other, 1.0, 6, 0
0, 
Family, ThreadPoolTask, PureOverrider, 0.5, 4, 7
2, interruptTask() void, runSupport() void, 
Family, BloomFilterImpl, PureOverrider, 1.0, 3, 0
4, getValue(int ) int, trimValue(int ) int, incValue(int ) int, decValue(int ) int, 
Family, TRTrackerServerImpl, Extender, 0.6666667, 3, 8
5, removeRequestListener(org.gudy.azureus2.core3.tracker.server.TRTrackerServerRequestListener ) void, getPort() int, addRequestListener(org.gudy.azureus2.core3.tracker.server.TRTrackerServerRequestListener ) void, getHost() java.lang.String, isSSL() boolean, 
Family, AbstractIView, Overrider, 0.6666667, 18, 128
6, initialize(org.eclipse.swt.widgets.Composite ) void, getData() java.lang.String, getComposite() org.eclipse.swt.widgets.Composite, delete() void, refresh() void, getFullTitle() java.lang.String, 
Family, ParameterImpl, PureExtender, 0.90909094, 11, 29
0, 
Family, DHKeyParameters, Overrider, 1.0, 2, 2
1, equals(java.lang.Object ) boolean, 
Family, AbstractTrackerCell, Overrider, 1.0, 3, 2
3, refresh(org.gudy.azureus2.plugins.ui.tables.TableCell ) void, cellHover(org.gudy.azureus2.plugins.ui.tables.TableCell ) void, scrapeResult(org.gudy.azureus2.core3.tracker.client.TRTrackerScraperResponse ) void, 
Family, ECKeyParameters, PureExtender, 1.0, 2, 2
0, 
Family, Parameter, PureExtender, 0.90909094, 11, 21
2, getControl() org.eclipse.swt.widgets.Control, setLayoutData(java.lang.Object ) void, 
Family, DERInputStream, PureOverrider, 1.0, 2, 3
1, readObject() org.bouncycastle.asn1.DERObject, 
Family, BufferedBlockCipher, PureOverrider, 1.0, 2, 0
5, processBytes(byte[] int int byte[] int ) int, getOutputSize(int ) int, getUpdateOutputSize(int ) int, processByte(byte byte[] int ) int, doFinal(byte[] int ) int, 
Family, PRUDPPacket, PureOverrider, 0.5, 2, 2
2, getString() java.lang.String, serialise(java.io.DataOutputStream ) void, 
Family, LogRelation, Extender, 1.0, 10, 668
2, getQueryableInterfaces() java.lang.Object[], getRelationText() java.lang.String, 
Family, ResourceDownloaderAdapter, PureOverrider, 0.8888889, 9, 28
1, completed(org.gudy.azureus2.plugins.utils.resourcedownloader.ResourceDownloader java.io.InputStream ) boolean, 
Family, KeyGenerationParameters, PureExtender, 1.0, 5, 6
0, 
Family, TrackerWCHelper, PureExtender, 1.0, 2, 17
6, authenticate(java.net.URL java.lang.String java.lang.String ) boolean, addAuthenticationListener(org.gudy.azureus2.plugins.tracker.web.TrackerAuthenticationListener ) void, getURLs() java.net.URL[], getName() java.lang.String, removeAuthenticationListener(org.gudy.azureus2.plugins.tracker.web.TrackerAuthenticationListener ) void, authenticate(java.net.URL java.lang.String ) byte[], 
Family, ListenerManagerDispatcher, PureOverrider, 0.94736844, 19, 1
1, dispatch(java.lang.Object int java.lang.Object ) void, 
Family, FMFileImpl, Extender, 0.5, 2, 7
7, write(org.gudy.azureus2.core3.util.DirectByteBuffer[] long ) void, setLength(long ) void, read(org.gudy.azureus2.core3.util.DirectByteBuffer long ) void, write(org.gudy.azureus2.core3.util.DirectByteBuffer long ) void, setAccessMode(int ) void, getLength() long, close() void, 
Family, RPObject, Extender, 0.88235295, 17, 370
3, _setLocal() java.lang.Object, _process(org.gudy.azureus2.pluginsimpl.remote.RPRequest ) org.gudy.azureus2.pluginsimpl.remote.RPReply, _setDelegate(java.lang.Object ) void, 
Family, DEROutputStream, PureOverrider, 1.0, 2, 0
1, writeObject(java.lang.Object ) void, 
Family, TableView, Extender, 0.5, 6, 70
5, initialize(org.eclipse.swt.widgets.Composite ) void, refresh(boolean ) void, fillMenu(org.eclipse.swt.widgets.Menu ) void, delete() void, tableStructureChanged() void, 
Family, TRTrackerAnnouncerImpl, PureExtender, 1.0, 2, 23
23, complete(boolean ) void, getPort() int, setIPOverride(java.lang.String ) void, refreshListeners() void, setAnnounceResult(org.gudy.azureus2.plugins.download.DownloadAnnounceResult ) void, getPeerId() byte[], getTrackerUrl() java.net.URL, getStatusString() java.lang.String, getLastResponse() org.gudy.azureus2.core3.tracker.client.TRTrackerAnnouncerResponse, clearPortOverride() void, setRefreshDelayOverrides(int ) void, setPortOverride(int ) void, getStatus() int, getTorrent() org.gudy.azureus2.core3.torrent.TOTorrent, setAnnounceDataProvider(org.gudy.azureus2.core3.tracker.client.TRTrackerAnnouncerDataProvider ) void, getTimeUntilNextUpdate() int, setTrackerUrl(java.net.URL ) void, destroy() void, resetTrackerUrl(boolean ) void, clearIPOverride() void, getLastUpdateTime() int, update(boolean ) void, stop() void, 
Family, ExternalSeedReaderImpl, Overrider, 1.0, 2, 0
6, getPort() int, readyToDeactivate(org.gudy.azureus2.plugins.peers.PeerManager ) boolean, getName() java.lang.String, readData(org.gudy.azureus2.plugins.peers.PeerReadRequest ) byte[], readyToActivate(org.gudy.azureus2.plugins.peers.PeerManager ) boolean, getIP() java.lang.String, 
Family, ASN1Set, PureOverrider, 0.5, 2, 2
1, encode(org.bouncycastle.asn1.DEROutputStream ) void, 
Family, DHTTransportStatsImpl, Extender, 0.5, 2, 2
6, getRequestsTimedOut() long, getBytesSent() long, getBytesReceived() long, getPacketsSent() long, getPacketsReceived() long, snapshot() com.aelitis.azureus.core.dht.transport.DHTTransportStats, 
Family, ElGamalKeyParameters, Overrider, 1.0, 2, 2
1, equals(java.lang.Object ) boolean, 
Family, ExternalIPCheckerServiceImpl, Overrider, 1.0, 2, 1
2, supportsCheck() boolean, initiateCheckSupport() void, 
Family, DERObjectIdentifier, Other, 1.0, 3, 0
0, 
Family, DHTUDPPacketReply, Extender, 0.71428573, 7, 27
1, serialise(java.io.DataOutputStream ) void, 
Family, BufferedGraphicTableItem, Overrider, 1.0, 2, 2
9, setGraphic(org.eclipse.swt.graphics.Image ) boolean, doPaint(org.eclipse.swt.graphics.GC ) void, needsPainting() boolean, getSize() org.eclipse.swt.graphics.Point, getGraphic() org.eclipse.swt.graphics.Image, dispose() void, invalidate() void, refresh() void, getBoundsForCanvas() org.eclipse.swt.graphics.Rectangle, 
Family, TableView$GroupTableRowRunner, PureOverrider, 0.95238096, 21, 1
1, run(org.gudy.azureus2.ui.swt.views.table.TableRowCore ) void, 
Family, DHTControlImpl$task, PureOverrider, 1.0, 2, 0
3, runSupport() void, getDescription() java.lang.String, getTarget() byte[], 
Family, AZInstanceImpl, PureExtender, 1.0, 2, 5
5, getDHTPort() int, getTrackerClientPort() int, getExternalAddress() java.net.InetAddress, getID() java.lang.String, getInternalAddress() java.net.InetAddress, 
Family, NativeInvocationBridge, PureOverrider, 0.5, 2, 7
1, isEnabled() boolean, 
Family, AEThread, PureOverrider, 0.9548872, 133, 24
1, runSupport() void, 
Family, JDKMessageDigest, PureOverrider, 1.0, 12, 0
1, clone() java.lang.Object, 
Family, ECKeySpec, PureExtender, 1.0, 2, 2
0, 
Family, TableColumnImpl, PureExtender, 1.0, 3, 3
1, cellAdded(org.gudy.azureus2.plugins.ui.tables.TableCell ) void, 
Family, UIComponentImpl, PureExtender, 1.0, 3, 6
2, setText(java.lang.String ) void, getText() java.lang.String, 
Family, PRUDPPacketRequest, Extender, 0.6, 5, 33
3, getString() java.lang.String, serialise(java.io.DataOutputStream ) void, getHash() byte[], 
Family, ShareResourceFileOrDirImpl, PureOverrider, 0.5, 2, 1
1, getFingerPrint() byte[], 
Family, TRTrackerServerProcessor, Extender, 0.5, 2, 10
2, interruptTask() void, runSupport() void, 
Family, TCPProtocolDecoder, Extender, 1.0, 2, 15
4, isComplete(long ) boolean, failed(java.lang.Throwable ) void, complete() void, getFilter() com.aelitis.azureus.core.networkmanager.impl.TCPTransportHelperFilter, 
Family, AbstractWizardPanel, Overrider, 0.6666667, 27, 71
1, show() void, 
Family, TCPTransportHelperFilterStream, Overrider, 1.0, 2, 0
3, cryptoOut(java.nio.ByteBuffer java.nio.ByteBuffer ) void, getName() java.lang.String, cryptoIn(java.nio.ByteBuffer java.nio.ByteBuffer ) void, 
Family, DHTControlImpl$lookupResultHandler, PureOverrider, 1.0, 5, 1
2, closest(java.util.List ) void, diversify(com.aelitis.azureus.core.dht.transport.DHTTransportContact byte ) void, 
Family, AESocksProxyState, PureOverrider, 0.8666667, 15, 12
1, readSupport(java.nio.channels.SocketChannel ) boolean, 
Family, ASN1Encodable, PureOverrider, 0.45454547, 11, 14
1, toASN1Object() org.bouncycastle.asn1.DERObject, 
Family, LongDigest, Extender, 1.0, 2, 0
4, getAlgorithmName() java.lang.String, getDigestSize() int, reset() void, doFinal(byte[] int ) int, 
Family, DHTOperationAdapter, PureOverrider, 1.0, 2, 0
2, complete(boolean ) void, read(com.aelitis.azureus.core.dht.transport.DHTTransportContact com.aelitis.azureus.core.dht.transport.DHTTransportValue ) void, 
Family, DSAKeyParameters, PureExtender, 1.0, 2, 2
0, 
Family, DERObject, Overrider, 0.72, 25, 64
3, equals(java.lang.Object ) boolean, hashCode() int, encode(org.bouncycastle.asn1.DEROutputStream ) void, 
Family, BufferedWidget, PureExtender, 1.0, 3, 15
8, isDisposed() boolean, setToolTipText(java.lang.String ) void, addMouseListener(org.eclipse.swt.events.MouseListener ) void, setText(java.lang.String ) void, getText() java.lang.String, setLayoutData(org.eclipse.swt.layout.GridData ) void, setCursor(org.eclipse.swt.graphics.Cursor ) void, setForeground(org.eclipse.swt.graphics.Color ) void, 
Family, DERBitString, PureOverrider, 0.6666667, 3, 1
1, toString() java.lang.String, 
Family, Wizard, Extender, 0.5714286, 7, 33
1, onClose() void, 
Family, AzureusCoreLifecycleAdapter, PureOverrider, 1.0, 5, 10
0, 
Family, PBEParametersGenerator, PureOverrider, 1.0, 2, 0
3, generateDerivedParameters(int ) org.bouncycastle.crypto.CipherParameters, generateDerivedParameters(int int ) org.bouncycastle.crypto.CipherParameters, generateDerivedMacParameters(int ) org.bouncycastle.crypto.CipherParameters, 
Family, TRTrackerServerProcessorTCP, PureOverrider, 0.5, 2, 4
2, interruptTask() void, runSupport() void, 
Family, UPnPSSWANConnectionImpl, Other, 1.0, 2, 0
0, 
Family, CoreTableColumn, PureExtender, 0.98245615, 114, 35
1, refresh(org.gudy.azureus2.plugins.ui.tables.TableCell ) void, 
Family, HTMLChunkImpl, PureExtender, 0.75, 4, 3
0, 
Family, ASN1Sequence, PureOverrider, 0.5, 2, 2
1, encode(org.bouncycastle.asn1.DEROutputStream ) void, 
Family, TOTorrentImpl, PureExtender, 1.0, 2, 24
0, 
Family, GenericParameterAdapter, PureOverrider, 1.0, 3, 4
6, setIntValue(java.lang.String int ) void, getIntValue(java.lang.String ) int, setBooleanValue(java.lang.String boolean ) void, getIntValue(java.lang.String int ) int, getBooleanValue(java.lang.String boolean ) boolean, getBooleanValue(java.lang.String ) boolean, 
Family, TRTrackerServerTCP, PureExtender, 1.0, 2, 7
0, 
Family, PopupShell, PureExtender, 1.0, 2, 3
4, animationEnded(org.gudy.azureus2.ui.swt.animations.Animator ) void, animationStarted(org.gudy.azureus2.ui.swt.animations.Animator ) void, reportPercent(int ) void, getShell() org.eclipse.swt.widgets.Shell, 
Family, BufferedTableItem, Overrider, 0.5, 2, 7
2, invalidate() void, refresh() void, 
Family, AERunnable, PureOverrider, 0.95364237, 151, 103
1, runSupport() void, 
Family, AsymmetricKeyParameter, PureExtender, 0.6, 5, 14
0, 
Family, DHTTransportReplyHandlerAdapter, Overrider, 1.0, 21, 27
1, failed(com.aelitis.azureus.core.dht.transport.DHTTransportContact java.lang.Throwable ) void, 
